id,name,downhill_skiing,nordic_skiing,status_id,lifts_total,runs_total,km_total,green_runs_total,blue_runs_total,red_runs_total,black_runs_total,special_runs,snowpark,special_runs_total,trineos,esqui_de_fondo,raquetas,forfait
22001,Alp 2500,1,0,1,33,138,145,29,49,44,16,0,0,0,0,0,0,53.0
20,La Molina,1,0,1,16,66,71,20,18,22,6,0,1,0,1,0,1,49.0
19,Masella,1,0,1,17,72,74,9,31,22,10,0,0,0,0,0,0,52.0
16,Baqueira Beret,1,0,1,36,116,170,5,43,48,17,1,1,3,0,1,0,66.0
17,Boí Taüll,1,0,1,10,43,46,6,6,15,16,0,1,0,1,0,0,45.0
18,Espot,1,0,1,5,22,25,2,10,6,4,0,0,0,1,0,1,38.5
21,Port Ainé,1,0,1,7,25,27,6,4,11,4,0,1,0,1,0,1,41.0
22,Port del Comte,1,0,1,17,39,50,8,13,12,6,0,0,0,0,0,0,42.0
2412,Tavascán,1,0,4,3,7,7,2,1,2,2,0,0,0,0,0,0,22.0
23,Vall de Nuria,1,0,1,7,11,8,3,3,3,2,0,0,0,1,0,1,37.0
24,Vallter,1,0,4,10,13,13,3,4,6,0,0,0,0,1,0,0,34.0
22003,100K Astún - Candanchú,1,0,1,37,118,100,17,32,40,19,1,0,10,0,0,0,54.0
7,Astún,1,0,1,15,61,50,5,18,22,6,1,1,10,1,0,0,54.0
8,Candanchú,1,0,1,22,57,50,12,14,18,13,0,0,0,1,0,0,54.0
9,Cerler,1,0,4,20,72,80,10,19,27,16,1,1,1,0,0,1,52.0
22002,Formigal - Panticosa,1,0,1,37,147,182,12,36,52,42,1,0,5,0,0,0,57.0
10,Formigal,1,0,1,22,102,143,6,20,35,37,1,1,4,0,0,0,57.0
11,Panticosa,1,0,1,15,45,39,6,16,17,5,1,0,1,0,0,0,48.0
15,Alto Campoo,1,0,1,12,23,30,4,10,9,0,0,1,0,0,0,0,39.0
5448,Fuentes de Invierno,1,0,2,5,15,8,3,3,6,3,0,0,0,0,0,0,27.0
25,Manzaneda,1,0,2,6,23,16,1,13,8,1,0,0,0,0,0,0,27.0
14,San Isidro,1,0,6,15,32,31,6,8,13,4,1,1,1,0,1,0,30.0
13,Valgrande-Pajares,1,0,6,7,38,22,8,12,15,3,0,1,0,0,1,0,29.0
955,Valle Laciana - Leitariegos,1,0,2,8,14,8,4,4,6,0,0,1,0,0,0,0,22.0
4685,Javalambre,1,0,6,9,18,15,5,9,1,0,1,1,3,1,0,0,39.5
4922,Punto de Nieve Santa Inés,1,0,6,2,2,1,1,1,0,0,0,1,0,1,1,1,30.0
12,Valdelinares,1,0,1,12,14,17,6,4,4,0,0,1,0,1,0,0,39.5
28,Valdezcaray,1,0,1,10,26,22,6,6,10,2,1,0,2,0,0,0,29.0
29,La Pinilla,1,0,1,13,23,15,4,6,13,0,0,0,0,0,0,0,37.0
26,Puerto de Navacerrada,1,0,2,6,8,5,1,3,4,0,0,0,0,0,0,0,32.0
2379,Sierra de Béjar,1,0,6,4,19,17,5,6,8,0,0,0,0,1,0,0,29.0
27,Valdesquí,1,0,2,15,28,22,7,16,5,0,0,1,0,0,0,0,43.0
4,Sierra Nevada,1,0,1,21,131,111,19,45,53,7,1,1,7,1,1,0,58.9
4601,Grandvalira,1,0,1,74,138,210,24,54,42,18,0,1,0,1,0,0,64.0
38,Ordino Arcalís,1,0,4,17,28,30,9,7,10,2,0,1,0,1,0,0,45.5
39,Pal Arinsal,1,0,1,32,45,63,6,18,17,4,0,1,0,1,0,1,49.5
2824,Ski Canaro,1,0,1,2,2,1,2,0,0,0,0,0,0,1,0,0,39.0
1533,Artouste,1,0,6,11,20,25,2,12,5,1,0,1,0,1,0,1,24.0
234,Gourette,1,0,1,12,37,39,7,11,16,3,0,1,0,1,0,1,41.0
2225,La Pierre Saint-Martin,1,0,1,11,27,27,6,12,7,2,0,1,0,1,0,0,40.0
22004,Cauterets,1,0,1,15,23,40,4,9,8,2,0,0,0,0,0,0,42.0
1518,Cauterets Cirque du Lys,1,0,1,11,20,36,3,8,7,2,0,1,0,1,0,0,42.0
5567,Cauterets Pont d´Espagne,1,0,6,4,3,4,1,1,1,0,0,0,0,0,0,0,18.0
1516,Gavarnie-Gèdre,1,0,6,7,25,32,5,10,6,4,0,0,0,0,0,1,32.5
236,Grand Tourmalet,1,0,1,28,53,100,11,24,14,4,0,1,0,1,0,1,51.0
1520,Hautacam,1,0,6,7,16,20,5,5,6,0,0,0,0,0,1,1,24.5
238,Luz Ardiden,1,0,1,9,29,60,3,8,13,5,0,1,0,1,0,1,39.0
1334,Peyragudes,1,0,1,18,50,60,6,23,17,4,0,1,0,0,0,0,46.5
239,Piau-Engaly,1,0,1,9,40,65,5,19,9,7,0,1,0,1,0,1,41.5
240,Saint-Lary,1,0,1,23,60,100,7,27,15,11,0,1,0,1,1,1,52.0
1522,Val Louron,1,0,1,10,22,22,7,6,8,1,0,0,0,0,0,0,33.3
4322,Bourg d´Oueil,1,0,2,3,7,5,1,3,2,1,0,0,0,0,0,0,12.0
3511,Le Mourtis,1,0,6,10,27,23,7,7,6,3,0,1,0,1,1,1,28.5
1517,Luchon - Superbagnères,1,0,1,13,29,32,2,14,7,6,0,1,0,1,1,1,34.0
1504,Ascou-Pailhères,1,0,1,7,17,17,4,5,6,2,0,0,0,0,0,1,25.5
233,Ax 3 Domaines,1,0,1,19,37,80,10,12,10,5,0,1,0,0,0,1,45.0
1500,Goulier Neige,1,0,2,5,8,7,2,3,2,1,0,0,0,0,0,0,20.0
1499,Guzet,1,0,1,15,29,40,7,9,9,4,0,1,0,1,1,1,36.5
1501,Les Monts d´Olmes,1,0,1,11,20,15,7,3,8,2,0,1,0,0,0,0,32.5
1502,Mijanès-Donezan,1,0,1,6,15,12,4,6,3,2,0,0,0,1,1,1,22.5
3512,Camurac,1,0,6,5,11,15,2,5,2,2,0,0,0,0,0,0,22.0
3977,Cambre d´Aze,1,0,1,16,24,22,8,5,8,3,0,0,0,0,0,0,37.0
235,Font-Romeu Pyrénées 2000,1,0,1,24,42,43,15,10,8,9,0,1,0,1,0,0,46.0
1527,Formiguères,1,0,1,7,21,25,4,6,9,2,0,0,0,0,0,0,37.0
1529,La Quillane,1,0,2,4,5,2,4,1,0,0,0,0,0,0,0,0,23.5
237,Les Angles,1,0,1,23,45,55,14,9,14,8,0,1,0,1,1,0,45.0
1530,Porté-Puymorens,1,0,1,10,33,50,12,6,7,8,0,0,0,0,0,0,37.0
1332,Serra da Estrela,1,0,4,4,19,12,3,4,11,1,0,1,0,0,0,0,25.0
